mes	NC	DF	TC	TF
Agos5	807	31	70,231	1,553
Agos4	968	31	69,424	1,522
Agos3	1,003	 26	68,456	1,497
Agos2	1,07	 26	67,453	1,471
Agos1	1,127	 28	66,383	1,449
Jul31	1,065	 28	65,256	1,421
Jul30	922	 24	64,191	1,397
Jul29	1,406	 23	63,269	1,374
Jul28	781	 25	62,223	1,349
Jul27	1,146	 27	61,442	1,322
Jul26	1,432	 28	60,296	1,294
Jul25	871	 19	58,864	1,275
Jul24	1,176	25	57,993	1,25
Jul23	911	41	56,817	1,209
Jul22	753	21	55,906	1,18
Jul21	727	18	55,153	1,159
Jul20	958	31	54,426	1,127
jul19	1,207	25	54,468	1,096
jul18	853	33	52,261	1,071
Jul17	1,035	38	51,408	1,038
Jul16	1,13	18	50,373	1,000
Jul15	1,147	22	49,243	982
Jul14	923	28	48,096	960
JUl13	1,54	23	47,173	932
Ju12	1,301	16	45,633	909
Jul11	1,075	30	44,332	893
Jul10	1,041	24	43,426	863
Jul9	965	20	42,216	839
Jul8	960	20	41,251	819
Jul7	799	29	49,291	799
Jul6	1,185	23	39,334	770
Jul5	1,166	27	38,149	747
Jul4	988	22	36,983	720
Jul3	758	31	35,995	698
Jul2	774	22	35,237	667
Jul1	913	14	34,463	645
Jun30	765	11	33,55	631
Jun29	1,099	16	32,785	620
Jun28	1,028	12	31,686	604
Jun27	753	17	30,658	592
JUn26	868	11	29,905	575
Jun25	1,007	17	29,037	564
Jun24	716	11	28,307	547
JUn23	562	15	27,314	536
Jun22	722	20	36,752	521
Jun21	808	8	26,03	501
Jun20	948	8	25,222	493
Jun19	923	10	24,274	485
Jun18	754	23	23,351	475
Jun17	635	13	22,597	470
Jun16	540	9	21,962	457
Jun15	736	11	21,422	448
Jun14	627	8	20,686	437
Jun13	848	8	20,059	429
Jun12	625	3	19,211	421
Jun11	697	5	18,586	418
Jun10	656	10	17,889	413
Jun9	379	9	17,233	403
Jun8	429	5	16,854	398
Jun7	421	5	16,425	393
Jun6	541	7	16,04	386
Jun5	419	16	14,463	370
Jun4	435	7	15,044	363
Jun3	514	6	14,609	357
Jun2	258	5	14,095	352
Jun1	374	8	13,837	344
May31	347	6	13,463	336
May30	352	4	13,018	330
May29	241	6	12,531	326
May28	232	5	12,131	320
May27	281	2	11,728	315
May26	264	3	11,447	313
May25	257	4	11,187	310
May24	259	7	10,926	306
May23	156	4	10,577	299
May22	151	4	10,267	295
May21	139	4	10,116	291
May20	110	5	9,997	287
May19	141	2	9,867	281
May18	120	4	9,726	279
May17	157	6	9,606	275
May16	181	3	9,449	269
May15	150	6	9,268	266
May14	174	4	9,118	260
May13	161	4	8,944	256
May12	167	3	8,783	252
May11	168	5	8,619	249
May10	166	5	8,448	244

